PRKAA1_TTC33
ARID3C_DCTN3
AZGP1_GJC3
ACOT11_MROH7
MIR22HG_TLCD2
TCF25_MC1R
CHD4_NOP2
NSUN4_FAAH
HLA-A_IGHG1
METTL23_MFSD11
MTATP6P1_ACTA1
KANSL1_ARL17B
LRP10_REM2
TTTY15_USP9Y
GOLT1A_KISS1
PRIM1_NACA
FAM129C_COLGALT1
TMSB4Y_KALP
HARS2_ZMAT2
WRB_SH3BGR
TRIM58_OR2T8
FKBP1A_SDCBP2
EIF3K_ACTN4
SRGAP2B_SRGAP2C
ZNF605_CHFR
SYT8_TNNI2
A2ML1_PHC1
MRPS10_GUCA1B
OTUD6B_LRRC69
TBCEL_TECTA
TMED4_DDX56
TOPORS_DDX58
MDP1_CHMP4A
HACL1_COLQ
RPL37A_IGFBP2
LMAN2_MXD3
CIRBP_C19orf24
DNAH14_CARKD
SH3BP2_ADD1
SIDT2_TAGLN
FAM162B_ZUFSP
FTH1_FTH1P3
RNA28S5_MTRNR2L9
TMX2_CTNND1
RASSF4_ZNF22
ACADL_KANSL1L
FAM175A_HELQ
MAPK7_RNF112
NXN_GLOD4
hsa-mir-6723_RNA45S5
MSANTD3-TMEFF1_MURC
SRP9_EPHX1
LASP1_LINC00672
RHBDL2_MYCBP
FAM117A_SLC35B1
CLMP_HSPA8
SEPT7P2_PSPH
LRRC8B_LRRC8C
SMURF2P1_LRRC37BP1
MRPL34_DDA1
TYSND1_AIFM2
IGHV3OR16-9_IGHA1
SHANK3_ACR
hsa-mir-6723_TPM1
NKX2-1_SFTA3
AP5S1_MAVS
DHRS1_RABGGTA
KANSL1_LRRC37A2
MICALL1_POLR2F
IGHV3-30_IGKC
ACTB_IGHG1
C11orf31_CTNND1
SLC25A44_PMF1
PRR11_SMG8
TMEM219_TAOK2
INTS3_SLC27A3
MED8_ELOVL1
HAUS4_PRMT5
LINC00493_DTD1
C5orf46_SPINK1
CECR7_IL17RA
IGKV3-20_IGHG1
IGHV3OR16-6_IGHG1
MTATP6P1_MTRNR2L8
GABARAP_PHF23
SYNPO2L_MYOZ1
PARL_MAP6D1
PSMA4_CHRNA5
DMKN_KRTDAP
GKAP1_KIF27
CIRBP_C19ORF24
COL7A1_UCN2
POLA2_CDC42EP2
ZNF445_LINC00694
ITCH_DYNLRB1
HLA-B_IGKC
hsa-mir-6723_MTRNR2L2
USP36_CYTH1
FLNC_ATP6V1F
SDHAF2_PPP1R32
TMC5_CCP110
PPP1R21_STON1
SYNJ2BP_COX16
ZNF606_C19orf18
EEF1D_NAPRT1
HERC3_FAM13A-AS1
HSPE1_MOB4
TIMM23B_LINC00843
IGHA1_MTATP8P1
ACSS1_APMAP
ZHX1_C8orf76
MTATP6P1_hsa-mir-6723
NFYA_ADCY10P1
TMEFF1_MURC
FARSA_SYCE2
MED22_SURF6
SCNN1A_TNFRSF1A
ANKRD1_MTATP6P1
IGKC_IGHA2
IGLC3_IGHA1
MFSD7_ATP5I
RRM2_C2orf48
SLC25A16_DNA2
CTBS_GNG5
ICA1L_NDUFV1
KIAA0753_PITPNM3
PPCS_CCDC30
IGKC_IGHG4
SLC39A1_CRTC2
STYXL1_TMEM120A
VPS45_PLEKHO1
PAGR1_MVP
LYZ_ABHD2
BTN2A3P_BTN3A3
RPL11_TCEB3
DUS4L_BCAP29
KANSL1_LRRC37A
ALOX12_RNASEK-C17orf49
KSR1_LGALS9
RSPH6A_DMWD
MANBA_UBE2D3
AKAP8L_AKAP8
CDR2L_ICT1
IGHV3OR16-13_IGHA1
SUGT1P_NOL6
TMF1_EOGT
MFGE8_HAPLN3
NFATC2IP_SPNS1
HEPHL1_PANX1
MTATP6P1_MTCYBP4
STARD3_TCAP
TP53RK_SLC13A3
ART4_SMCO3
DRAXIN_AGTRAP
PLEKHO2_ANKDD1A
TRIM52_GNB2L1
IGKC_IGHG2
GALT_IL11RA
IGLC2_IGHG1
KANSL1_ARL17A
HSP90AA1_hsa-mir-6723
MARCH _2_HNRNPM
SLC35A3_HIAT1
MED20_USP49
CD74_IGHG1
IGKV3-11_IGHG1
DEF6_PPARD
LSP1_TNNT3
NPM1_NCL
hsa-mir-6723_MYL2
SFT2D2_TBX19
CTNNBIP1_CLSTN1
BRD2_CALR
IL34_FLJ00418
CHCHD2_PHKG1
EEF1DP3_FRY
HSPB1_MTATP6P1
NOTCH2NL_NBPF10
IGKC_IGHG3
DPM2_PIP5KL1
C15orf57_CBX3
DENND2C_BCAS2
RNA28S5_MTATP6P1
ADCK4_NUMBL
SMG5_PAQR6
IGLC3_IGHG1
MEF2BNB_MEF2B
MLYCD_OSGIN1
RBPMS2_OAZ2
ADSL_SGSM3
TPD52L2_DNAJC5
IGHG1_IGLL5
CTSC_RAB38
GTF3C2_MPV17
CRYAB_DES
SMG1_ARL6IP1
UVSSA_CRIPAK
SLC29A1_HSP90AB1
RNA28S5_IGHA1
RPL38_TTYH2
PPIL3_CLK1
RHBDL2_GJA9
GLYCTK_DNAH1
IL2RG_CXorf65
IRF6_C1orf74
TRIM59_IFT80
NSFP1_LRRC37A2
JAK3_INSL3
CKMT2_ZCCHC9
ALOX12_RNASEK
METTL10_FAM53B
ZNF765_TPM3P9
ADAP2_RNF135
LINC00680_GUSBP4
UBA2_WTIP
VAMP1_CD27-AS1
LINC00545_MEDAG
FABP2_C4orf3
PBXIP1_PMVK
MRPS30_LYZ
MTATP6P1_MTRNR2L2
FLVCR1-AS1_C1orf227
SRGAP2B_SRGAP2
ZNF674-AS1_CHST7
CFI_RADIL
TIMM23_LINC00843
USP4_C3orf62
ZNF485_ZNF32-AS2
ACCS_EXT2
LSM10_STK40
IGSF5_PCP4
ACAD8_GLB1L3
HSPB2_C11orf52
TRIM2_MND1
PIGV_ZDHHC18
IGKC_IGHG1
MBD1_CCDC11
SIRPB2_NSFL1C
C5orf45_IGF2
